student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,math_score_outlier,math_score_capped
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,42.7,55.4,57.0,53.1,e,False,42.7
2,18,female,public,graduate,3.7,87.8,yes,>60 min,no,textbook,57.6,68.8,64.8,61.3,d,False,57.6
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,84.8,95.0,79.2,89.6,b,False,84.8
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,44.4,27.5,54.7,41.6,e,False,44.4
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,8.9,32.7,30.0,25.4,f,False,8.9
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,51.5,78.3,63.9,63.5,d,False,51.5
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,41.9,29.4,39.2,39.1,f,False,41.9
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,56.7,60.1,53.4,69.6,d,False,56.7
9,15,other,private,high school,3.2,89.6,yes,15-30 min,yes,mixed,54.1,59.5,38.3,55.2,d,False,54.1
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,71.9,70.4,81.3,69.6,d,False,71.9
11,17,female,private,graduate,6.1,90.5,yes,15-30 min,no,notes,75.4,82.7,70.8,77.5,c,False,75.4
12,19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,notes,62.0,54.7,58.0,65.0,d,False,62.0
13,18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,75.1,80.5,56.2,73.6,c,False,75.1
14,18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,textbook,33.6,26.8,50.0,42.5,e,False,33.6
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,88.1,66.1,70.3,69.3,d,False,88.1
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,66.4,76.9,76.1,73.7,c,False,66.4
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,63.1,46.3,57.1,53.5,e,False,63.1
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,57.2,50.5,54.1,49.8,e,False,57.2
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,38.7,69.9,58.3,59.2,d,False,38.7
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,49.9,53.9,60.4,61.9,d,False,49.9
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,84.9,77.6,77.6,81.3,c,False,84.9
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,76.7,31.9,39.3,55.0,d,False,76.7
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,41.3,35.2,19.9,33.5,f,False,41.3
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,100.0,100.0,100.0,94.6,b,False,100.0
